date,co,no,no2,o3,so2,pm2_5,pm10,nh3
2/19/2021,8117.7 µmole,125.2 µmole,89.1 µmole,0.0 µmole,71.5 µmole,644.9 µmole,816.5 µmole,35.0 µmole
2/19/2021,7583.6 µmole,123.4 µmole,74.7 µmole,0.0 µmole,57.2 µmole,637.7 µmole,800.0 µmole,24.6 µmole
2/19/2021,6248.5 µmole,106.4 µmole,59.6 µmole,0.0 µmole,37.2 µmole,553.3 µmole,680.3 µmole,12.9 µmole
2/19/2021,4753.1 µmole,75.1 µmole,48.0 µmole,0.0 µmole,24.6 µmole,472.5 µmole,563.2 µmole,7.6 µmole
2/19/2021,3578.2 µmole,45.6 µmole,41.8 µmole,0.0 µmole,20.3 µmole,406.3 µmole,469.1 µmole,6.1 µmole
2/19/2021,2616.9 µmole,18.8 µmole,39.8 µmole,0.1 µmole,19.3 µmole,348.5 µmole,391.8 µmole,6.2 µmole
2/19/2021,2323.2 µmole,10.1 µmole,37.4 µmole,0.3 µmole,19.6 µmole,332.2 µmole,370.4 µmole,6.5 µmole
2/20/2021,2349.9 µmole,11.5 µmole,36.7 µmole,0.3 µmole,21.7 µmole,338.7 µmole,377.4 µmole,7.6 µmole
2/20/2021,2750.4 µmole,23.3 µmole,39.1 µmole,0.1 µmole,28.6 µmole,371.2 µmole,417.6 µmole,11.4 µmole
2/20/2021,3738.4 µmole,52.8 µmole,45.2 µmole,0.0 µmole,40.1 µmole,434.0 µmole,498.7 µmole,17.0 µmole
2/20/2021,4379.3 µmole,76.0 µmole,53.5 µmole,1.3 µmole,46.7 µmole,467.1 µmole,539.3 µmole,19.3 µmole
2/20/2021,4005.4 µmole,55.9 µmole,70.6 µmole,10.9 µmole,51.0 µmole,446.2 µmole,508.8 µmole,19.0 µmole
2/20/2021,3898.6 µmole,37.1 µmole,85.0 µmole,37.6 µmole,57.7 µmole,451.4 µmole,513.3 µmole,23.6 µmole
2/20/2021,3738.4 µmole,18.8 µmole,89.1 µmole,101.6 µmole,65.8 µmole,468.4 µmole,527.7 µmole,25.1 µmole
2/20/2021,1361.9 µmole,3.2 µmole,29.1 µmole,206.0 µmole,55.3 µmole,252.6 µmole,274.0 µmole,11.2 µmole
2/20/2021,1094.8 µmole,1.9 µmole,18.9 µmole,223.2 µmole,44.4 µmole,223.8 µmole,241.2 µmole,10.5 µmole
2/20/2021,1028.1 µmole,1.6 µmole,17.5 µmole,223.2 µmole,42.4 µmole,214.3 µmole,230.8 µmole,11.0 µmole
2/20/2021,1188.3 µmole,2.1 µmole,26.4 µmole,211.7 µmole,51.0 µmole,231.1 µmole,250.7 µmole,13.6 µmole
2/20/2021,1442.0 µmole,2.4 µmole,40.1 µmole,181.7 µmole,59.1 µmole,258.5 µmole,282.3 µmole,16.5 µmole
2/20/2021,1642.2 µmole,1.4 µmole,53.5 µmole,143.1 µmole,59.1 µmole,266.3 µmole,292.7 µmole,19.0 µmole
2/20/2021,2990.7 µmole,2.9 µmole,116.5 µmole,37.6 µmole,62.9 µmole,334.1 µmole,382.9 µmole,31.7 µmole
2/20/2021,4859.9 µmole,37.1 µmole,124.8 µmole,0.0 µmole,68.7 µmole,451.1 µmole,536.6 µmole,48.6 µmole
2/20/2021,5874.6 µmole,58.1 µmole,111.0 µmole,0.0 µmole,69.6 µmole,540.8 µmole,652.5 µmole,56.7 µmole
2/20/2021,6248.5 µmole,63.5 µmole,104.2 µmole,0.0 µmole,66.8 µmole,597.8 µmole,720.8 µmole,51.2 µmole
2/20/2021,6088.3 µmole,55.0 µmole,101.5 µmole,0.0 µmole,57.7 µmole,610.3 µmole,729.6 µmole,39.5 µmole
2/20/2021,5020.1 µmole,30.4 µmole,98.7 µmole,0.1 µmole,42.0 µmole,556.7 µmole,650.8 µmole,24.1 µmole
2/20/2021,3418.0 µmole,2.8 µmole,84.3 µmole,10.3 µmole,28.4 µmole,462.7 µmole,522.2 µmole,12.0 µmole
2/20/2021,2616.9 µmole,0.0 µmole,54.8 µmole,36.5 µmole,24.6 µmole,423.3 µmole,466.8 µmole,8.9 µmole
2/20/2021,2243.0 µmole,0.0 µmole,40.1 µmole,52.9 µmole,23.4 µmole,406.5 µmole,442.3 µmole,7.5 µmole
2/20/2021,2029.4 µmole,0.0 µmole,34.3 µmole,57.2 µmole,22.7 µmole,399.9 µmole,432.1 µmole,6.7 µmole
2/20/2021,1976.0 µmole,0.0 µmole,32.9 µmole,50.8 µmole,21.9 µmole,400.3 µmole,430.8 µmole,6.1 µmole
2/21/2021,1976.0 µmole,0.0 µmole,36.3 µmole,40.4 µmole,22.4 µmole,402.8 µmole,433.0 µmole,6.1 µmole
2/21/2021,2216.3 µmole,0.4 µmole,48.7 µmole,23.6 µmole,26.7 µmole,418.5 µmole,453.0 µmole,8.4 µmole
2/21/2021,2857.2 µmole,9.1 µmole,67.2 µmole,3.0 µmole,35.8 µmole,454.1 µmole,501.7 µmole,13.8 µmole
2/21/2021,3257.8 µmole,22.8 µmole,74.7 µmole,6.5 µmole,42.9 µmole,470.3 µmole,524.9 µmole,17.2 µmole
2/21/2021,3017.4 µmole,16.3 µmole,76.1 µmole,37.2 µmole,50.1 µmole,456.9 µmole,506.4 µmole,19.3 µmole
